Line,Label
" The savings his ad attacks do not cut a single guaranteed Medicare benefit, and Mitt Romney embraced the very same savings when he promised he'd sign Paul Ryan's budget,  Smith said.",Neutral
" Because the president is eliminating subsidies to insurance companies and cutting waste and fraud, we've extended the life of Medicare by eight years.",Neutral
The truth is that the Romney-Ryan budget would end Medicare as we know it: people with Medicare would be left with nothing but a voucher in place of the guaranteed benefits they rely on today. ,Informational
Both sides are being selective in how they describe each other's plans.,Neutral
"The Ryan proposal, submitted again in the House earlier this year, would a decade from now give seniors government payments to purchase private plans or stay within the current system.",Neutral
"Ryan says this is to preserve Medicare, not  end  it, as Obama's campaign claims.",Neutral
"But while Ryan slams the health care overhaul for cutting Medicare, even he acknowledged that his own plan achieves  savings  for Medicare in the long run.",Neutral
"Though he doesn't use the word  cuts,  the plan would slow the rate of benefit growth for seniors according to the Congressional Budget Office.",Neutral
And the ObamaCare cuts he referenced would likely come in the form of lower payments to providers.,Neutral
"A Romney campaign aide, though, said  that's a distinction without a difference  since the  provider passes that reduction along to  patients.",Neutral
"In his interview with Fox News, Ryan also hammered Obama for what he called his  utter failure when it comes to creating jobs. ",Informational
"Amplifying the Romney campaign message, he said Obama's heavy borrowing is dragging down economic growth   he also claimed the  hope and change campaign of '08 has become the blame and attack campaign of 2012. ",Neutral
Ryan offered new insight as well on how Romney and Ryan came to bond in the months before he was announced as running mate.,Neutral
He recalled when he was campaigning with Romney earlier this year ahead of the Wisconsin primary.,Neutral
" We spent about five days on the road, five working hour or so days,  he said.",Neutral
" And in between all of those stops, driving from, you know, Appleton to Green Bay to Janesville to Milwaukee, we got to know each other.",Neutral
"We conversed on policy issues, on where to take the country.",Neutral
"And sooner or later, we basically started sharing the microphones at these town hall meetings and we just kind of developed a chemistry with one another and a mutual understanding with each other. ",Neutral
Ryan said he doesn't know whether he had a  special place  but it was  very clear we thought the same on these issues. ,Neutral
" When he asked me to join the ticket, he basically said to me, 'You share my values and you have the kind of experience that could be a complement to my experience to getting this country back on track, to creating jobs, to getting people back to work, to saving this country from a debt crisis,'"" Ryan said.",Neutral
"Ryan also discussed his affection for novelist Ayn Rand, saying  Atlas Shrugged  triggered his interest in economics.",Neutral
He said he doesn't share her overall philosophy but said her books  showed how the pitfalls of socialism can hurt the economy. ,Neutral
"Obama, meanwhile, took on Ryan for the second straight day Tuesday, using a stop in Oskaloosa, Iowa, to criticize Ryan's and Romney's tax plan.",Neutral
" You may have heard that Governor Romney just chose his running mate, Congressman Ryan.",Neutral
He's a good man. He's a family man.,Informational
"He's the ideological leader of the Republicans in Congress,  Obama said.",Neutral
 And he's an articulate spokesperson for Governor Romney's views.,Neutral
"The problem is, those views are wrong. ",Informational
"WASHINGTON -- In the wake of Mitt Romney's choice of Paul Ryan as his vice presidential nominee, the politics of Medicare have become almost as complicated as the policy itself.",Neutral
The most recent back-and-forth between the Romney and Obama campaigns concerns which candidate would do more harm to people's benefits.,Neutral
While the president's team has pointed to the Republican plan to turn Medicare into a quasi-voucher program -- in which recipients would receive a check to buy either insurance through the private market or traditional Medicare -- the Romney team has responded by noting that Obama took more than $700 billion out of Medicare as part of his health care overhaul.,Neutral
"""He stole $700 billion from Medicare to fund Obamacare,"" said RNC Chair Reince Priebus.",Lexical
"""If any person in this entire debate has blood on their hands in regard to Medicare, it's Barack Obama.""",Informational
That rejoinder is now a subject of intense debate.,Neutral
The money being taken out of the system by the Affordable Care Act is mostly derived from limiting the expected rate of growth in the program.,Neutral
"The savings come predominantly from limiting waste, fraud and abuse, mostly in Medicare Advantage, and are budgeted to help subsidize insurance for people under the ACA.",Neutral
"As such, independent fact-checkers and news analysts alike have disputed the Romney campaign's characterization.",Informational
"Part of the reason that the Obama campaign is crying foul over this line of criticism, however, may be because it knows how effective it can be.",Neutral
Republicans also used the charge that Obamacare raided Medicare as a primary attack line in the 2010 congressional elections.,Lexical
"Two years prior, then-Senator Obama used virtually identical language to beat up on his general election opponent, Sen. John McCain (R-Ariz.):",Lexical
"""How would your golden years turn out under John McCain?",Neutral
His health care plan would cut Medicare by $800 billion -- that means a 22 percent cut in benefits.,Neutral
"Higher premiums and co-pays ... after a lifetime of work, senior's health care shouldn't be a gamble.",Neutral
"John McCain's plan, it's not the change we need.""",Neutral
Obama made the same argument on the stump.,Neutral
"""It turns out, Senator McCain would pay for part of his plan by making drastic cuts in Medicare: $882 billion worth -- $882 billion in Medicare cuts to pay for a ill-conceived, badly thought-through health care plan that won't provide more health care to people, even though Medicare is already facing a looming shortfall,"" Obama declared at a campaign stop in Roanoke, Va.",Neutral
"Douglas Holtz-Eakin, McCain's policy director at the time, recalled that the attack originated with a Wall Street Journal article that referenced his saying that McCain would assume savings in Medicare and Medicaid spending to make his health care plan budget neutral.",Neutral
Those savings were expected to come from eliminating fraud and reforming payment policies.,Neutral
The possibility of increasing Medicare premiums for higher-income earners was also floated.,Neutral
"FactCheck.org rated the Obama ad as ""false,"" noting that the McCain campaign wasn't talking about slashing benefits but limiting waste and slowing the rate of growth.",Informational
"Holtz-Eakin said, ""We were looking for efficiencies in delivery a la Managed Medicaid.""",Neutral
This was a relatively minor aspect of the Obama campaign's assault on McCain's Medicare record.,Lexical
The more substantive criticism concerned McCain's proposal to tax worker health care plans as a way of generating money to give people a new tax credit so that they could buy private insurance.,Neutral
"""Like Governor Romney has refused to specify how he will pay for his $5 trillion tax cuts weighted toward millionaires, Senator McCain would have cut $1.3 trillion from health care programs to pay for tax cuts while refusing to rule out cutting benefits or to say what he was cutting,"" Obama's current campaign press secretary, Ben LaBolt, said in an email to The Huffington Post.",Neutral
"""President Obama achieved a third as much savings by eliminating unnecessary subsidies to insurances companies and getting waste and fraud out of the system in order to improve seniors' benefits -- saving them $600 a year on prescription drugs and providing them with access to preventive care.",Neutral
"Senator McCain and Governor Romney have subsequently opposed the savings that the president identified and demagogued the issue, ironically, since Governor Romney's running mate kept them in his budget.""",Lexical
But the attack on McCain's accounting was part of the assault nonetheless.,Lexical
"And in light of the current debate over Medicare proposals, it could complicate the political dialogue even further.",Neutral
"Certainly, as the Washington Examiner's Phillip Klein notes, it will contribute to the general reluctance to talk substantively about Medicare reform out of a concern that it merely invites future attacks.",Neutral
"WASHINGTON - Representative Paul D. Ryan's budget blueprint assumes the same amount of Medicare savings as President Obama's health care law, even though Mitt Romney and Mr. Ryan have said those cuts would be devastating to millions of older Americans on Medicare",Neutral
"As the partisan brawl over Medicare continued on Tuesday and threatened to become the focus of the race, the Obama campaign said that Mr. Ryan's budget plan   broadly endorsed by Mr. Romney    would end Medicare as we know it  and shift costs to beneficiaries.",Informational
The Republicans hit back on Tuesday with a television commercial asserting that the Romney-Ryan Medicare plan was better for older Americans.,Neutral
" You paid into Medicare for years, every paycheck,  the advertisement says.",Neutral
" Now when you need it, Obama has cut $716 billion from Medicare.",Informational
Why? To pay for Obamacare.,Informational
So now the money you paid for your guaranteed health care is going to a massive new government program that's not for you. ,Informational
"Lis Smith, a spokeswoman for the Obama campaign, said,  Mitt Romney's Medicare ad is dishonest and hypocritical. ",Lexical
"The savings, she said,  do not cut a single guaranteed Medicare benefit. ",Neutral
"In an interview with Fox News on Tuesday, Mr. Ryan said he welcomed the back and forth.",Neutral
" This is a debate we want to have,  he said.",Neutral
" We're the ones who are offering a plan to save Medicare, to protect Medicare, to strengthen Medicare. ",Neutral
"With 50 million beneficiaries, Medicare is a major concern for both parties.",Neutral
"The current fight centers on changes in the program made in the new health law, the Affordable Care Act, passed in 2010 without Republican votes.",Neutral
"Mr. Obama would use the savings to help offset the cost of covering the uninsured, as well as to improve the financial condition of the Medicare trust fund.",Neutral
Mr. Ryan says he would use the money to shore up Medicare and to help reduce budget deficits.,Neutral
Republicans won control of the House in 2010 partly by arguing that Democrats had raided Medicare to pay for Mr. Obama's health care law.,Lexical
"Democrats hope to deflect such attacks this year by pointing out that Mr. Ryan's budget plan, approved twice by the House, includes similar savings   roughly $700 billion from 2013 to 2022, according to the Congressional Budget Office.",Neutral
Those savings have a complicated history.,Neutral
"Mr. Ryan's budget plan was approved in March by the House Budget Committee, of which he is chairman.",Neutral
"Before the vote, committee members discussed the budget plan and the Medicare provisions in detail.",Neutral
"Representative Allyson Y. Schwartz, Democrat of Pennsylvania, asked whether the savings in the Affordable Care Act    sometimes referred to as cuts to Medicare    were part of Mr. Ryan's budget.",Neutral
"Austin Smythe, the panel's Republican staff director, said:  We assume those savings.",Neutral
"We devote them to solvency of Medicare and to deficit reduction, instead of covering the expansions. ",Neutral
"At another point, Mr. Smythe said,  We assume the repeal of all of the expansions in the Affordable Care Act. ",Neutral
"Those expansions, he said, include subsidies to help low- and middle-income people buy private insurance.",Neutral
"Democrats said that repeal of the new law would also wipe out new Medicare benefits, like additional coverage of prescription drugs and preventive services.",Neutral
"The House approved the Ryan budget plan on March 29 by a vote of 228 to 191, with all but 10 Republicans voting for it.",Neutral
Mr. Romney has offered a Medicare proposal similar to Mr. Ryan's.,Neutral
But the Romney campaign said Tuesday that Mr. Romney would restore the money being squeezed out of Medicare by the 2010 health law.,Lexical
" Mitt Romney and Paul Ryan have always been fully committed to repealing Obamacare, ending President Obama's $716 billion raid on Medicare, and tackling the serious fiscal challenges our country faces,  said Lanhee Chen, the policy director for the Romney campaign.",Neutral
 A Romney-Ryan administration will restore the funding to Medicare. ,Neutral
"The Ryan plan, like any budget resolution, specifies levels of spending, savings and revenues, based on certain policy assumptions.",Neutral
"But, as Mr. Smythe pointed out,  the committees of jurisdiction determine the details  in separate legislation.",Neutral
"Mr. Ryan and Mr. Obama would impose similar overall constraints on Medicare spending, stipulating that average spending per beneficiary should not grow faster than the economy, measured by the per capita output of goods and services, plus one-half of one percentage point.",Neutral
"However, they would achieve the goal in different ways.",Neutral
Mr. Ryan and Mr. Romney would limit the government's current open-ended financial commitment to Medicare.,Neutral
"The government would contribute a fixed amount of money on behalf of each beneficiary, and future beneficiaries could use the money to buy private insurance or to help pay for coverage under the traditional Medicare program.",Neutral
"The new health care law, by contrast, will reduce projected Medicare payments to health maintenance organizations, hospitals and many other health care providers.",Neutral
"As a backstop, to ensure savings, the law creates a Medicare cost control board.",Neutral
Cuts recommended by the board would take effect automatically unless Congress voted to block or change them.,Neutral
"Mr. Romney and Mr. Ryan would abolish the panel, which they describe as a tool for rationing health care.",Neutral
"Even for a Congress known to battle over every little detail, reading the U.S. Constitution aloud sounded like a simple exercise.",Informational
Turned out it wasn't.,Neutral
Newly sworn members of the House reading aloud the country's founding document on Thursday didn't recite every verse and article of the document because Republicans decided that the obsolete parts can be skipped since they've been superseded by amendment.,Neutral
"For instance, lawmakers did not read the 18th Amendment, which imposed prohibition on liquor in 1919.",Neutral
"However, they did read the 21st Amendment, which repealed prohibition in 1933 and is still in force.",Neutral
Republicans also left out the part about counting slaves and Native Americans as three-fifths of a person.,Neutral
"Portions of the U.S. Constitution are never deleted, just amended, as has been done 27 times in history.",Neutral
"But all the original decisions remain in the Constitution, including in the copies authorized by Congress' Joint Committee on Printing and used in Thursday's reading.",Neutral
And that was the point of contention for Democratic lawmakers who complained that exempting parts of the document from the reading undermines the objective of the exercise.,Lexical
"""This is very emotional for me,"" Rep. Jesse Jackson Jr., D-Ill., said on the floor before the reading began.",Neutral
"""Given the struggle of African Americans, given the struggle of women, given the struggle of others to create a more perfect document, to hear that those elements of the Constitution that have been dedacted (sic) by amendment are no less serious, no less part of our ongoing struggle to improve the country and our desire to continue to improve the Constitution, many of us don't want that to be lost upon the reading of our sacred document,"" he said.",Neutral
"Rep. Jay Inslee, D-Wash., commented that the original document has been changed through amendment, leaving the the reader to interpret the operative language.",Neutral
"""I think it would be helpful to the members if you would explain to us how the determinations of what to read has been made or not made so that we all be on the same page as to congressional intent,"" he said to Rep. Bob Goodlatte, R-Va., who presided over the reading.",Neutral
"Rep. Elijah Cummings, D-Md., questioned the reading of the ""amended"" Constitution.",Neutral
"""To not read the full document, including all the text that was later amended, is to fail to acknowledge the struggle our nation has constantly fought, within and without, to 'keep' our Republic,"" he said in a written statement.",Lexical
"""It is a failure to show Americans that while we seek a more perfect union, we do so from imperfect beginnings, through an imperfect history, with an imperfect government created by an imperfect document,"" he added.",Informational
"""We fail to show the American people that imperfection is not to be feared and that our ability to constantly improve on what the Founders gave us is a blessing, not a reason for divisiveness.""",Lexical
"Other lawmakers decried the exercise altogether, saying the Constitution is a living document that shouldn't be followed to the letter.",Neutral
"""They are reading it like a sacred text,"" Rep. Jerrold Nadler, D-N.Y., the former chairman of the House Judiciary subcommittee on the Constitution, Civil Rights and Civil Liberties, told The Washington Post.",Informational
"Nadler derided what he called the ""ritualistic reading"" as ""total nonsense"" and ""propaganda"" intended to give Republicans claim to the document.",Informational
"He argued that the Founders were not ""demigods"" and that the document's needs for amendments to abolish slavery and other injustices showed it was ""highly imperfect.""",Neutral
"""You are not supposed to worship your Constitution,"" he told the newspaper.",Informational
"""You are supposed to govern your government by it.""",Neutral
"But for all those who described the exercise as political waste -- including Vanity Fair magazine, which estimated it as costing more than $1 million -- supporters noted that it was an historic moment -- the first time the U.S. Constitution had been read on the U.S. House floor.",Informational
"""I think that this is a very symbolic showing to the American people and reminder to the members of congress that we are a government of laws not of men and that this Constitution is the foundation for all of our laws,"" Goodlatte said.",Neutral
And backers said that it wouldn't hurt to try to live by the aspirations of the Founding Fathers.,Neutral
"""I don't think the Constitution is propaganda.",Neutral
"I think it's a valuable exercise and an important moment in this Congress for us to read the Constitution,"" said Rep. Steve Israel, D-N.Y.",Neutral
"""But I do think that you can't just read it like a speech and then leave skid marks on it in your legislative record.""",Neutral
"Historian Alan Brinkley of Columbia University told Fox News the reading may be ""a bit of theater,"" but it is ""not insignificant given that many Republicans have decided -- implausibly, in my opinion -- that the Constitution is the vehicle that can reduce the size of government.""",Informational
But Roger Pilon of the Cato Institute said Congress needs to re-read the Constitution to be reminded how out of control government has become.,Neutral
"""Today the Congress regulates our lives and redistributes our wealth in ways that would shock the Founders,"" he said.",Neutral
"""The Constitution, they wrote that to ensure limited government and they meant for most of us to live our lives free from government, in the private sector, planning and living our own lives, not as dependents on government goods and services.""",Neutral
Pilon added that the Founders never intended for the Constitution to be viewed as fluid advice.,Neutral
"""When liberals tell today that the Constitution is essentially a blank slate to be filled by transient majorities, nothing could be further from the truth.",Neutral
"If that were so, it would never have been ratified in the first place,"" he said.",Neutral
"As the Constitution was being read inside the lower chamber, Nadler and others gathered outside the Capitol to push for passage of the Equal Rights Amendment, a perennial effort to update the document with a statement on women.",Neutral
"""John Boehner and his cronies are holding up the U.S. Constitution as a sacred, perfect document.",Lexical
"But we know the Constitution is far from perfect because it does not guarantee women's equality,"" NOW President Terry O'Neill said in a statement.",Neutral
"WASHINGTON - And on the second day of Republican rule, the House read the Constitution.",Neutral
Those wondering whether the reading would be dramatic found out on Thursday as volunteers gave voice to the seven articles and 27 amendments that make up the nation's governing document.,Neutral
Republicans have made strict adherence to the Constitution a key tenet of their effort to reduce the size of the federal government.,Neutral
The House GOP will reportedly make it a requirement that all new bills put forth in the legislative body include  a statement by the lawmaker who wrote it citing the constitutional authority to enact the proposed legislation. ,Neutral
The Washington Post reported last week that reading the founding document in full appears to be a first in the chamber's 221-year history:,Neutral
 Call it the tea party-ization of Congress. ...,Neutral
These are two standout changes on a long list of new rules Republicans will institute in the House when they assume the majority on Jan. 5.,Neutral
"After handing out pocket-size Constitutions at rallies, after studying the document article by article and after demanding that Washington return to its founding principles, tea party activists have something new to applaud.",Lexical
A pillar of their grass-roots movement will become a staple in the bureaucracy that governs Congress. ,Neutral
Politics Daily recently reported:,Neutral
" Beyond its symbolic power, however, it is unclear what impact the new rule will have upon the nation.",Neutral
"Under axiomatic legal precedent, virtually all congressional action is presumed valid anyway, at least initially.",Informational
"Moreover, by taking their oaths of office, lawmakers swear to abide by the Constitution, and virtually all legislation is vetted for constitutional support on some level by government lawyers before it makes it to committee or to the floor of the House.",Neutral
"It is also quite obvious, from 223 years of legal and political debate on the topic, that the text of the Constitution itself, including those portions that deal with legislative power, is susceptible to many different (and often evolving) views and interpretations, a practical reality that would likely render most  Constitutional Authority Statements  controversial and contentious. ",Informational
"According to Peter Keating at Vanity Fair, $1.1 million is the estimated cost of GOP plans to read the document on the House floor. ",Informational
 The amount I get is nearly $1.1 million.,Neutral
"$1,071,872.87, to be exact, though of course this is more back-of-the-envelope than exact.",Neutral
"When one chamber of Congress is in session but not working, we the people still have to pay for members' salaries and expenses, and for their police protection, and for keeping their lights and phones and coffee machines on. ",Informational
" We always hear members of Congress talking about swearing an oath to represent their constituents, when in reality the only oath we take is to the Constitution,  explained newly-minted Speaker John Boehner to the Post.",Neutral
" On November 2nd, voters called for an end to reckless spending and a renewed commitment to the Constitution,  said Rep. Michele Bachmann (R-Minn.), who has emerged a prominent voice of the Tea Party movement, to the Post.",Neutral
 These new rules show that Republicans are serious about respecting the Constitution. ,Informational
"Also on Thursday, the House is to take up its first spending cut measure, a proposed 5 percent trim in the budgets of leadership, rank-and-file member and committee offices.",Neutral
Republicans have estimated that this will save $35 million over the next nine months.,Neutral
Setting the tone for the 112th Congress   in which every House bill must cite the constitutional source of its authority   members of the House of Representatives began to read the United States Constitution aloud from the chamber's floor on Thursday morning.,Neutral
"Like the Constitutional Convention itself, things did not begin auspiciously.",Neutral
"Before the reading began, Jay Inslee, Democrat of Washington, asked Republicans to illuminate exactly what part of the Constitution would be read, what parts would be deleted and who would decide how things would unfold.",Neutral
"It was decided in advance that any portion of the Constitution that was superseded by amendments   including the amendments themselves   would not be read, preventing lawmakers from having to make references to slaves, referred to in Article 1, Section 2 as  three fifths of all other persons,  or to things like prohibition.",Neutral
"These inquiries about parliamentary procedure were not well received, and for several minutes, before a word of the preamble could be uttered, Democrats and Republicans battled back and forth over the issue of language, perhaps presaging future partisan battles over the meaning, purpose and application of the document.",Informational
"Once that was settled, just after 11 a.m., Representative John A. Boehner, the newly installed speaker of the House, read the preamble (that magical  We the people ), before yielding to the woman who handed him the gavel on Wednesday, Representative Nancy Pelosi, who picked up with Article 1, Section 1 ( All legislative powers herein granted shall be vested in a Congress of the United States, which shall consist of a Senate and House of Representatives ), followed by Representative Eric Cantor, the House majority leader, and other House leaders.",Neutral
"From there, members who wished to read were recognized from their seats, beginning with Representative Steve Rothman, Democrat of New Jersey.",Neutral
"And so, sentence by sentence, in accents that reflect the myriad districts that did not even exist when the document came into being, by women and African Americans whose full rights were not recognized at that time, the constitutional language fluttered through the chamber.",Neutral
"At one point, there was yelling in the chamber, and the sergeant-at-arms was called to remove a protester.",Informational
"The reading of the document on the floor of the House, an act that is part of the new rules package, serves several purposes, said Representative Robert W. Goodlatte, Republican of Virginia, who came up with the idea for the live reading.",Neutral
"Largely, it was meant to instruct members, who now must use it to underlie their bills, and to inform voters.",Neutral
" Throughout the last year there has been a great debate about the expansion of the federal government, and lots of my constituents have said that Congress has gone beyond its powers granted in the Constitution,  said Mr. Goodlatte, a senior member of the House Judiciary Committee, which has jurisdiction over constitutional amendments.",Neutral
He added:  I think it is important that we send a message to people at home that the constitution is an important document. ,Neutral
"But it was also clearly meant as a nod to the Tea Party, a loosely organized political movement whose members cite the Constitution as the basis for much of their political theory concerning federal powers and the rights and responsibilities of Congress.",Neutral
"To wit, the document reading happened on the same day that House Republicans began the contentious process of repealing the health care law, which they have long said lacks constitutional basis.",Neutral
"The order of reading was ironed out at the last minute, with the goal of letting all who wished to read do so, but making sure there was party parity, Mr. Goodlatte said.",Neutral
" We have spread the word to everyone, and there was a lot of interest,  he said.",Neutral
"According to the Office of the Historian of the House of Representatives, the only two prior instances in which a full or partial text of the Constitution was inserted into the Congressional Record was in 1882, when Roswell Flower of New York  appended  a text of the Constitution   minus the amendments   into the record, and in 1915, when Thomas Reilly of Connecticut inserted the full text of the Constitution into the Congressional Record as an extension of his remarks.",Neutral
But the office could not find any examples of the full text of the Constitution actually being read out loud on the House Floor.,Neutral
"President Trump said Friday that he will support a short-term spending bill to re-open the government, temporarily ending the partial government shutdown that has dragged on for more than a month -- despite a day earlier saying Republicans would not  cave  on his demands for funding for a wall on the southern border.",Informational
" I am very proud to announce we have reached a deal to end the shutdown and reopen the federal government,  he said to applause from gathered Cabinet members.",Neutral
He said the deal would keep the government open for three weeks until Feb. 15 and that a bill would go before the Senate immediately. ,Neutral
"He made reference to his previous threats to declare a national emergency, calling it a  very powerful weapon,  but saying he didn't want to use it. ",Informational
"The deal appeared to include no money for a wall or steel barrier, but he said he hoped negotiations would continue to come to an agreement on wall funding.",Neutral
"""Walls should not be controversial,"" he said.",Neutral
The shutdown was sparked by disagreement over President Trump's demand for $5.7 billion in funding for a wall or steel barrier on the southern border. ,Neutral
"Democrats countered initially with $1.3 billion for general border security, while Trump said initially he would not sign anything without wall funding.",Neutral
"In the last few weeks, the fight turned particularly nasty -- with Trump canceling a Democratic congressional trip to Afghanistan after House Speaker Nancy Pelosi called on Trump to delay his State of the Union address or submit it in writing. ",Informational
"Trump announced Thursday that he would delay the address, but if the government re-opens then it could take place on Tuesday as had been previously scheduled.",Neutral
"After bills to re-open the government failed in the Senate Thursday, Trump signaled that a ""large down payment"" on funding, potentially less than the $5.7 billion, could be sufficient to end the stalemate. ",Neutral
"He suggested that a ""prorated down payment"" on the wall, without providing a concrete dollar figure, could be viable.",Informational
"Sen. Lindsey Graham, R-S.C., had also suggested that a three-week continuing resolution could be the way forward.",Neutral
"""If they come to a reasonable agreement, I would support that,"" Trump told reporters.",Neutral
"The partial closure of the government has led to hundreds of thousands of workers furloughed or working without pay, with groups representing the workers increasing their calls for D.C. to end the deadlock and get workers paid again. ",Neutral
Many workers missed their second paycheck on Friday.,Informational
"Every former secretary of the Department of Homeland Security, including former White House chief of staff John Kelly, sent a letter to the president and Congress on Thursday asking them restore the department's funding.",Informational
" DHS employees who protect the traveling public, investigate and counter terrorism, and protect critical infrastructure should not have to rely on the charitable generosity of others for assistance in feeding their families and paying their bills while they steadfastly focus on the mission at hand,  the letter said. ",Neutral
 This is unconscionable. ,Informational
"President Trump on Saturday announced a compromise plan that funded the wall while extending protections for 700,000 illegal immigrants brought to the country as children and 300,000 immigrants from countries designated unsafe to return. ",Informational
"However, Democrats rejected the plan even before Trump announced it, and a Senate version of the plan failed to get the 60 votes needed on Thursday. ",Informational
"A second bill, already passed by the Democrat-controlled House to re-open the government, also fell short.",Neutral
"On Thursday, Trump had promised that Republicans  will not cave"" on border wall demands.",Informational
,Neutral
President Donald Trump announced Friday a short-term plan that will reopen the government for three weeks so that border security negotiations may continue without the devastating effects of the partial government shutdown.,Lexical
Trump said he's prepared to sign a bill to open the government through Feb. 15.,Neutral
"Federal employees will get back pay  very quickly or as soon as possible,  he said.",Neutral
"Shortly after the announcement, the Senate and House both passed a resolution to reopen the government through that date.",Neutral
"The announcement comes on the 35th day of the longest shutdown in United States history and is a clear cave by Trump, whose impasse over the budget stems from his demands for $5.7 billion in funds for his long-promised wall along the U.S.-Mexico border   a project Democratic lawmakers say is a firm deal-breaker.",Informational
"If funding for his border wall is not secured by the end of the negotiation period, Trump said he is prepared to shut down the government again or issue a national emergency declaration in order to get funding   a plan that would strip funding from disaster recovery efforts.",Informational
"Throughout the shutdown, Trump's reputation has suffered across parties as airports have grappled with severe delays and federal workers have gone without paychecks, putting many at risk of losing their homes, defaulting on loans and missing other crucial payments.",Informational
Trump's statement comes a day after the Senate failed to pass his proposal to reopen the government with border wall funding in exchange for temporary legal protection for some undocumented immigrants.,Neutral
House Speaker Nancy Pelosi (D-Calif.) was in the middle of a roundtable with Capitol Hill reporters when reports began surfacing of Trump's support for a short-term government funding bill.,Neutral
She was mum on whether she considered his proposal a final deal.,Neutral
" We're going in that direction but we're not to that place,  said Pelosi.",Neutral
 I'm hopeful. ,Neutral
"Senate Minority Leader Chuck Schumer (D-N.Y.) spoke on the Senate floor shortly after Trump's announcement, congratulating lawmakers on the development.",Neutral
" The solution to this impasse was to separate funding the government from our disagreements over border security,  Schumer said, adding that  we can never hold American workers hostage again. ",Informational
Trump spent most of his speech on Friday rehashing his usual talking points about crime at the border.,Neutral
" We really have no choice but to build a powerful wall or a steel barrier,  he said.",Neutral
"WASHINGTON   President Trump agreed on Friday to reopen the federal government for three weeks while negotiations continued over how to secure the nation's southwestern border, backing down after a monthlong standoff failed to force Democrats to give him billions of dollars for his long-promised wall.",Neutral
The president's concession paved the way for the House and the Senate to both pass a stopgap spending bill by voice vote.,Neutral
"Mr. Trump signed it on Friday night, restoring normal operations at a series of federal agencies until Feb. 15 and opening the way to paying the 800,000 federal workers who have been furloughed or forced to work without pay for 35 days.",Lexical
"The plan includes none of the money for the wall that Mr. Trump had demanded and was essentially the same approach that he rejected at the end of December and that Democrats have advocated since, meaning he won nothing concrete during the impasse.",Informational
"Mr. Trump presented the agreement with congressional leaders as a victory anyway, and indicated in a speech in the Rose Garden that his cease-fire may only be temporary: If Republicans and Democrats cannot reach agreement on wall money by the February deadline, he said that he was ready to renew the confrontation or declare a national emergency to bypass Congress altogether.",Lexical
" We really have no choice but to build a powerful wall or steel barrier,  Mr. Trump said.",Neutral
" If we don't get a fair deal from Congress, the government will either shut down on Feb. 15, or I will use the powers afforded to me under the laws and Constitution of the United States to address this emergency. ",Neutral
But Mr. Trump has already adopted some of the language that his Democratic adversaries have used during the longest shutdown in history.,Neutral
"He conceded that  we do not need 2,000 miles of concrete wall from sea to shining sea   we never did  and invoked the utility of  smart walls  that substitute some physical barriers for drones and other sensors.",Neutral
The semantic evolution provides both the president and Democrats with a face-saving way forward if they want it.,Neutral
The surprise announcement was a remarkable surrender for a president who made the wall his nonnegotiable condition for reopening the government and a centerpiece of his political platform.,Lexical
Some immigration hard-liners that make up a key part of his political base were incensed by the capitulation.,Neutral
